feature_1,feature_2,correlation,absolute_correlation
ptsI_V25I,parE_I529L,0.995973813545168,0.995973813545168
parC_S80I,gyrA_D87N,0.965830153793002,0.965830153793002
qacEdelta1,sul1,0.963519198800321,0.963519198800321
catB3,aac(6')-Ib-cr5,0.9437885207590316,0.9437885207590316
aadA5,dfrA17,0.940381823437678,0.940381823437678
aac(6')-Ib-cr5,blaOXA-1,0.925726621971035,0.925726621971035
catB3,blaOXA-1,0.8843113773681791,0.8843113773681791
parC_E84V,parE_I529L,0.8237814143929222,0.8237814143929222
parC_E84V,ptsI_V25I,0.8204425903133293,0.8204425903133293
parC_S80I,gyrA_S83L,0.8078633540534681,0.8078633540534681
