feature,n_present_total,prevalence_total_percent,n_present_resistant,n_present_susceptible,prevalence_resistant_percent,prevalence_susceptible_percent,odds_ratio,p_value,n_absent_resistant,n_absent_susceptible,fdr_p_value,significant_fdr_0.05
parC_S80I,256,35.51,246,10,89.45,2.24,369.848275862069,6.792742547077839e-144,29,436,1.2362791435681666e-141,True
gyrA_D87N,247,34.26,239,8,86.91,1.79,363.4791666666667,1.0373351260424252e-138,36,438,9.439749646986069e-137,True
gyrA_S83L,323,44.8,262,61,95.27,13.68,127.20050441361917,1.0236415047069895e-116,13,385,6.210091795222403e-115,True
parC_E84V,174,24.13,168,6,61.09,1.35,115.14018691588785,9.203685156171256e-81,107,440,4.187676746057921e-79,True
parE_I529L,229,31.76,176,53,64.0,11.88,13.182389937106919,8.784676891783651e-49,99,393,2.9295930270144147e-47,True
ptsI_V25I,231,32.04,177,54,64.36,12.11,13.11111111111111,9.65799899015741e-49,98,392,2.9295930270144147e-47,True
aac(6')-Ib-cr5,107,14.84,102,5,37.09,1.12,52.00231213872832,3.217369767233441e-42,173,441,8.365161394806946e-41,True
uhpT_E350Q,313,43.41,205,108,74.55,24.22,9.165343915343914,7.776729575472643e-41,70,338,1.769205978420026e-39,True
catB3,105,14.56,99,6,36.0,1.35,41.25,1.526014245310782e-39,176,440,3.085939918295137e-38,True
blaOXA-1,115,15.95,103,12,37.45,2.69,21.657945736434108,5.317794675955641e-36,172,434,9.678386310239267e-35,True
blaCTX-M-15,168,23.3,132,36,48.0,8.07,10.512820512820513,1.800678487613767e-34,143,410,2.9793044067791417e-33,True
mph(A),240,33.29,165,75,60.0,16.82,7.42,9.585502413426454e-33,110,371,1.4538011993696788e-31,True
tet(A),237,32.87,163,74,59.27,16.59,7.316119691119691,4.2420480505880686e-32,112,372,5.938867270823297e-31,True
qacEdelta1,280,38.83,173,107,62.91,23.99,5.373556899395272,2.289660417534607e-25,102,339,2.976558542794989e-24,True
sul1,283,39.25,173,110,62.91,24.66,5.180748663101604,1.74834149384984e-24,102,336,2.1213210125378057e-23,True
aadA5,168,23.3,121,47,44.0,10.54,6.670212765957447,2.3400527522850814e-24,154,399,2.66181000572428e-23,True
dfrA17,179,24.83,126,53,45.82,11.88,6.270482461694314,5.181072266510786e-24,149,393,5.546795014735077e-23,True
aac(3)-IIe,73,10.12,66,7,24.0,1.57,19.804511278195488,1.1758745046869806e-22,209,439,1.1889397769612805e-21,True
parE_S458A,40,5.55,39,1,14.18,0.22,73.53813559322033,2.1052793764017205e-16,236,445,2.0166360342374372e-15,True
blaOXA-48,133,18.45,21,112,7.64,25.11,0.24655511811023623,9.275093484463805e-10,254,334,8.440335070862062e-09,True
parE_L416F,23,3.19,22,1,8.0,0.22,38.69565217391305,5.416926807764743e-09,253,445,4.6946699000627774e-08,True
pmrB_E123D,440,61.03,203,237,73.82,53.14,2.4863455227379276,3.2040184322525444e-08,72,209,2.65059706668165e-07,True
sul2,218,30.24,115,103,41.82,23.09,2.393507281553398,1.916504175635633e-07,160,343,1.5165380868073269e-06,True
ampC_T-32A,26,3.61,0,26,0.0,5.83,0.0,3.81325558484271e-06,275,420,2.8917188185057216e-05,True
aac(3)-IId,96,13.31,57,39,20.73,8.74,2.728652081863091,8.15639601234287e-06,218,407,5.937856296985609e-05,True
aph(3'')-Ib,191,26.49,99,92,36.0,20.63,2.1644021739130435,8.486952663169349e-06,176,354,5.940866864218545e-05,True
blaNDM-5,11,1.53,11,0,4.0,0.0,,2.1911749643909726e-05,264,446,0.000142759141690288,True
blaCTX-M-27,25,3.47,20,5,7.27,1.12,6.91764705882353,2.1962944875428927e-05,255,441,0.000142759141690288,True
aph(6)-Id,191,26.49,97,94,35.27,21.08,2.040640688501076,4.117800629360119e-05,178,352,0.00025842748777363505,True
ble,15,2.08,13,2,4.73,0.45,11.01526717557252,0.00013681987691600242,262,444,0.000830040586623748,True
ftsI_N337NYRIN,9,1.25,9,0,3.27,0.0,,0.00015736173706533857,266,446,0.0009238656821255361,True
dfrA36,8,1.11,8,0,2.91,0.0,,0.00042022066864264566,267,446,0.002390005052905047,True
dfrA12,54,7.49,32,22,11.64,4.93,2.5379723157500935,0.0012312476975492232,243,424,0.0067905176046654135,True
blaOXA,9,1.25,8,1,2.91,0.22,13.333333333333334,0.002523092121261102,267,445,0.013302076721901444,True
parE_D475E,13,1.8,0,13,0.0,2.91,0.0,0.0025580916772887396,275,433,0.013302076721901444,True
marR_S3N,95,13.18,24,71,8.73,15.92,0.5050221648616801,0.006293570809176153,251,375,0.03181749686861277,True
parE_S458T,5,0.69,5,0,1.82,0.0,,0.007891214473939166,270,446,0.038816244169106166,True
blaCTX-M-9,11,1.53,0,11,0.0,2.47,0.0,0.00865918620409678,275,435,0.041472944451200366,True
blaCTX-M,7,0.97,6,1,2.18,0.22,9.925650557620818,0.014112902363371649,269,445,0.0658602110290677,False
cyaA_S352T,117,16.23,33,84,12.0,18.83,0.5876623376623377,0.016702669958022935,242,362,0.07599714830900435,False
ftsI_I336IKYRI,4,0.55,4,0,1.45,0.0,,0.0208782316524516,271,446,0.0904723371606236,False
blaCMY-42,4,0.55,4,0,1.45,0.0,,0.0208782316524516,271,446,0.0904723371606236,False
aadA2,73,10.12,37,36,13.45,8.07,1.7705415499533146,0.02231917718230776,238,410,0.09446721505069797,False
glpT_E448K,661,91.68,244,417,88.73,93.5,0.5473814496789665,0.02676694770850651,31,29,0.11071782915791328,False
dfrA1,41,5.69,9,32,3.27,7.17,0.43773496240601506,0.030992198871339485,266,414,0.12534622654630637,False
parE_I355T,20,2.77,3,17,1.09,3.81,0.2783304498269896,0.034831136674473816,272,429,0.137810149451179,False
aadA1,80,11.1,22,58,8.0,13.0,0.5817091454272864,0.038538709833232876,253,388,0.14923500403507198,False
tet(B),74,10.26,20,54,7.27,12.11,0.5693536673928831,0.042982064873015674,255,392,0.16297366264351776,False
oqxA,7,0.97,0,7,0.0,1.57,0.0,0.048148688474221074,275,439,0.1752612260461647,False
oqxB,7,0.97,0,7,0.0,1.57,0.0,0.048148688474221074,275,439,0.1752612260461647,False
parC_E84K,3,0.42,3,0,1.09,0.0,,0.05511239090610385,272,446,0.1966755910766843,False
sat2,26,3.61,5,21,1.82,4.71,0.3747795414462081,0.06205573716995813,270,425,0.21719508009485347,False
parC_E84G,5,0.69,4,1,1.45,0.22,6.568265682656826,0.07282630036650131,271,445,0.24545160493894885,False
cmlA6,5,0.69,4,1,1.45,0.22,6.568265682656826,0.07282630036650131,271,445,0.24545160493894885,False
fosA,6,0.83,0,6,0.0,1.35,0.0,0.08777675276563979,275,440,0.29046125460629896,False
pmrB_Y358N,81,11.23,24,57,8.73,12.78,0.6525477039211575,0.11414949318423229,251,389,0.3709858528487549,False
