,parC_S80I,gyrA_D87N,gyrA_S83L,parC_E84V,ptsI_V25I,parE_I529L,uhpT_E350Q,parE_S458A,mph(A),tet(A),blaCTX-M-15,catB3,aac(6')-Ib-cr5,qacEdelta1,aac(3)-IId,blaOXA-1,sul1,aadA5,dfrA17
parC_S80I,1.0,0.9658301537930021,0.8078633540534681,0.7579819681104955,0.5778538958663647,0.5736667956847439,0.5465969536863449,0.267522484881974,0.5253916323869586,0.4677328826769746,0.48578153389008116,0.49822969805859296,0.5168324831526707,0.4458739216165837,0.18809214352490716,0.4868908261200171,0.4413034699020776,0.42595142479190723,0.4324437825506568
gyrA_D87N,0.9658301537930021,1.0,0.7852633486810952,0.7554784382986456,0.5778030405828183,0.5735184152143508,0.5434250178183364,0.24047692648891136,0.5176773173277698,0.46755580086718374,0.4813431901820791,0.5085310262625281,0.5273461839700515,0.4403165150278692,0.1745389886198736,0.4974934074570507,0.4434894791234088,0.4299521278465234,0.42886713549623645
gyrA_S83L,0.8078633540534681,0.7852633486810952,1.0,0.6123458550697944,0.5507692325472403,0.5475131288329684,0.48044184323104844,0.25571641105212084,0.4958581670556927,0.41001497939863707,0.4521848709328787,0.40456618105285413,0.41126504880285425,0.4163691650193179,0.23566970695210981,0.39886266104849394,0.4162363767801937,0.4177516082671069,0.42274480991338725
parC_E84V,0.7579819681104955,0.7554784382986456,0.6123458550697944,1.0,0.8204425903133293,0.8237814143929222,0.6395978021863957,-0.13157300508698616,0.4794827279424352,0.424695561736476,0.5862325507276248,0.5395904594404658,0.5632620104410465,0.38519873610272987,-0.04796783673348104,0.502772151602781,0.3842758657492092,0.4062436904606483,0.3711393449011095
ptsI_V25I,0.5778538958663647,0.5778030405828183,0.5507692325472403,0.8204425903133293,1.0,0.9959738135451681,0.7812503267052051,-0.1081786681918092,0.5290482149312938,0.39021895908289306,0.4947360651507921,0.4306185822116263,0.4514550638266961,0.40418353642528915,0.10482198392234252,0.39353701673926755,0.4008810887753623,0.40740935020426355,0.3843669423444499
parE_I529L,0.5736667956847439,0.5735184152143508,0.5475131288329684,0.8237814143929222,0.9959738135451681,1.0,0.7781048672219913,-0.10746372201097232,0.5244432976337497,0.38542614225403055,0.4975439595769775,0.43279354284102356,0.45368305899982675,0.4000454780318322,0.09529930376202202,0.3957312816137258,0.3968070207015425,0.40128621596920605,0.37854756660342936
uhpT_E350Q,0.5465969536863449,0.5434250178183364,0.48044184323104844,0.6395978021863957,0.7812503267052051,0.7781048672219913,1.0,-0.12416375200105856,0.41062587155325897,0.33951922447318744,0.3448737496457306,0.3396995823032492,0.3576061372743271,0.3335017511806158,0.20679322544374268,0.2992688430811501,0.3344491535876863,0.3277615534658845,0.3295992711092784
parE_S458A,0.267522484881974,0.24047692648891136,0.25571641105212084,-0.13157300508698616,-0.1081786681918092,-0.10746372201097232,-0.12416375200105856,1.0,0.08777888821061472,0.10345363955438704,-0.018107505317721168,0.08338864705679006,0.08025116600912784,0.12034079568335997,0.07182923752228043,0.13758656494771057,0.11660754717795307,-0.0015331635874507273,0.02408222992507463
mph(A),0.5253916323869586,0.5176773173277698,0.4958581670556927,0.4794827279424352,0.5290482149312938,0.5244432976337497,0.41062587155325897,0.08777888821061472,1.0,0.5295192667946121,0.4255729257084143,0.34356809873002253,0.35433193544488806,0.7186309620517581,0.28260665911194194,0.29857158243578763,0.7443897048350053,0.7058236236143961,0.682693103592526
tet(A),0.4677328826769746,0.46755580086718374,0.41001497939863707,0.424695561736476,0.39021895908289306,0.38542614225403055,0.33951922447318744,0.10345363955438704,0.5295192667946121,1.0,0.40542105402144857,0.3627786518235938,0.37329496358374337,0.4786823460877322,0.19276712038399754,0.31706503653795215,0.4823739530386483,0.4238063421104071,0.4163140541990918
blaCTX-M-15,0.48578153389008116,0.4813431901820791,0.4521848709328787,0.5862325507276248,0.4947360651507921,0.4975439595769775,0.3448737496457306,-0.018107505317721168,0.4255729257084143,0.40542105402144857,1.0,0.6105952724849094,0.6223750437537464,0.31760260322824846,-0.0787279369367882,0.5717754145212676,0.30871815214745024,0.28407671921278477,0.27145355817566535
catB3,0.49822969805859296,0.5085310262625281,0.40456618105285413,0.5395904594404658,0.4306185822116263,0.43279354284102356,0.3396995823032492,0.08338864705679006,0.34356809873002253,0.3627786518235938,0.6105952724849094,1.0,0.9437885207590315,0.29158707011089335,-0.05428827728019354,0.8843113773681791,0.2950101927338001,0.2882553718286462,0.2857390697683116
aac(6')-Ib-cr5,0.5168324831526707,0.5273461839700515,0.41126504880285425,0.5632620104410465,0.4514550638266961,0.45368305899982675,0.3576061372743271,0.08025116600912784,0.35433193544488806,0.37329496358374337,0.6223750437537464,0.9437885207590315,1.0,0.2708019990250704,-0.05755344986238256,0.925726621971035,0.2741099156687936,0.27991182668461706,0.2771312771878556
